sofascore_team_name,league_name,tm_club_name,match_score,match_method,sofascore_team_id,tm_club_id
Los Angeles FC,MLS,Los Ángeles FC,99,normalized,274650,51828
Minnesota United,MLS,Minnesota United FC,99,normalized,41618,56089
Mito Hollyhock,J1 League,Mito HollyHock,100,exact,21901,21975
Monza,Serie B,AC Monza,90.0,fuzzy_auto,2729,2919
Nashville SC,MLS,Nashville SC,100,exact,337612,63966
New York City FC,MLS,New York City FC,100,exact,187643,40058
Orlando City SC,MLS,Orlando City SC,100,exact,52237,45604
Padova,Serie B,Calcio Padova,90.0,fuzzy_auto,2741,3037
Philadelphia Union,MLS,Philadelphia Union,100,exact,39833,25467
Portland Timbers,MLS,Portland Timbers,100,exact,22007,4291
Real Salt Lake,MLS,Real Salt Lake City,95.0,fuzzy_auto,5133,6643
San Diego FC,MLS,San Diego FC,100,exact,1043961,114977
Seattle Sounders FC,MLS,Seattle Sounders FC,100,exact,22009,9636
US Avellino 1912,Serie B,US Avellino 1912,100,exact,2730,2331
V-Varen Nagasaki,J1 League,V-Varen Nagasaki,100,exact,38154,23581
Vancouver Whitecaps,MLS,Vancouver Whitecaps FC,99,normalized,22010,6321
Örgryte IS,Allsvenskan,Örgryte IS,100,exact,1766,1118
