sofascore_team_name,league_name,tm_club_name,match_score,match_method,sofascore_team_id,tm_club_id
Daejeon Hana Citizen,Korean K League 1,Daejeon Hana Citizen,100,exact,7645,6499
Darmstadt 98,2. Bundesliga,SV Darmstadt 98,99,normalized,2576,105
De Graafschap,Eerste Divisie,De Graafschap Doetinchem,90.0,fuzzy_auto,2949,642
Degerfors IF,Allsvenskan,Degerfors IF,100,exact,1807,3641
Deportivo de La Coruña,LaLiga2,RC Deportivo de La Coruña,99,normalized,2832,897
Djurgårdens IF,Allsvenskan,Djurgårdens IF,100,exact,1759,1044
Eibar,LaLiga2,SD Eibar,99,normalized,2839,1533
Eintracht Braunschweig,2. Bundesliga,Eintracht Braunschweig,100,exact,2557,23
Eintracht Frankfurt,Bundesliga,Eintracht Fráncfort​​,100,manual_confirm,2674,24
Estoril Praia,Liga Portugal,GD Estoril Praia,95.0,fuzzy_auto,4500,1465
Excelsior,Eredivisie,Excelsior Rotterdam,90.0,fuzzy_auto,2967,798
Eyüpspor,Turkish Süper Lig,Eyüpspor,100,exact,7040,7160
FC Alverca,Liga Portugal,FC Alverca,100,exact,190328,2521
FC Andorra,LaLiga2,FC Andorra,100,exact,324871,10718
FC Anyang,Korean K League 1,FC Anyang,100,exact,32675,38898
FC Arouca,Liga Portugal,FC Arouca,100,exact,25777,8024
FC Augsburg,Bundesliga,FC Augsburgo,94.1,fuzzy_auto,2600,167
FC Bayern München,Bundesliga,Bayern Múnich,100,manual_confirm,2672,27
FC Blau Weiss Linz,Austrian Bundesliga,FC Blau-Weiss Linz,99,normalized,2113,2157
FC Botoșani,Romanian SuperLiga,FC Botoșani,100,exact,24798,8818
FC Bălți,Moldovan Super Liga,FC Balti,99,normalized,353848,83016
FC Cartagena,1RFEF,FC Cartagena,100,exact,24329,7077
FC Den Bosch,Eerste Divisie,FC Den Bosch,100,exact,2963,404
FC Dordrecht,Eerste Divisie,FC Dordrecht,100,exact,2973,1455
FC Eindhoven,Eerste Divisie,FC Eindhoven,100,exact,2994,3892
FC Emmen,Eerste Divisie,FC Emmen,100,exact,2965,1283
FC Farul Constanța,Romanian SuperLiga,FCV Farul Constanta,95.0,fuzzy_auto,3294,29831
FC Groningen,Eredivisie,FC Groningen,100,exact,2951,202
FC Hermannstadt,Romanian SuperLiga,FC Hermannstadt,100,exact,260356,58049
FC Metaloglobus București,Romanian SuperLiga,FC Metaloglobus Bucharest,90.9,fuzzy_auto,79081,37624
FC Milsami Orhei,Moldovan Super Liga,FC Milsami Orhei,100,exact,53475,30686
FC Petrocub Hîncesti,Moldovan Super Liga,FC Petrocub Hincesti,99,normalized,167232,46643
FC Petrolul Ploiești,Romanian SuperLiga,Petrolul Ploiesti,99,normalized,25856,9465
FC Politehnica,Moldovan Super Liga,Politehnica UTM Сhișinău,90.0,fuzzy_auto,5177,90107
FC Porto,Liga Portugal,FC Oporto,90.9,fuzzy_auto,3002,720
FC Rapid București,Romanian SuperLiga,FC Rapid 1923,100,manual_confirm,295403,455
FC Schalke 04,2. Bundesliga,FC Schalke 04,100,exact,2530,33
FC Seoul,Korean K League 1,FC Seoul,100,exact,7646,6500
FC St. Pauli,Bundesliga,FC St. Pauli,100,exact,2526,35
FC Tokyo,J1 League,FC Tokyo,100,exact,3147,6631
FC Twente,Eredivisie,FC Twente Enschede,90.0,fuzzy_auto,2955,317
FC Universitatea Cluj,Romanian SuperLiga,FC Universitatea Cluj,100,exact,7734,6429
FC Utrecht,Eredivisie,FC Utrecht,100,exact,2948,200
FC Volendam,Eredivisie,FC Volendam,100,exact,2968,724
FC Zimbru Chişinău,Moldovan Super Liga,FC Zimbru Chisinau,99,normalized,5265,2714
FCSB,Romanian SuperLiga,FCSB,100,exact,3301,301
FCV Dender,Belgian Pro League,FCV Dender EH,95.0,fuzzy_auto,389232,9010
FK Austria Wien,Austrian Bundesliga,FK Austria Viena,100,manual_confirm,2203,14
FK Csíkszereda Miercurea Ciuc,Romanian SuperLiga,FK Csikszereda Miercurea Ciuc,99,normalized,283972,37255
FK IMT Beograd,Mozzart Bet Superliga,FK IMT Belgrad,90.9,fuzzy_auto,308176,32113
FK Javor Ivanjica,Mozzart Bet Superliga,FK Javor-Matis Ivanjica,95.0,fuzzy_auto,5144,8819
FK Mladost Lučani,Mozzart Bet Superliga,FK Mladost Lucani,99,normalized,7771,6622
FK Napredak Kruševac,Mozzart Bet Superliga,FK Napredak Krusevac,99,normalized,7674,788
FK Novi Pazar,Mozzart Bet Superliga,FK Novi Pazar,100,exact,25736,4633
FK Partizan,Mozzart Bet Superliga,Partizán de Belgrado,90.0,fuzzy_auto,5152,669
FK Radnik Surdulica,Mozzart Bet Superliga,FK Radnik Surdulica,100,exact,111127,33328
FK Radnički 1923,Mozzart Bet Superliga,FK Radnicki 1923 Kragujevac,90.0,fuzzy_auto,43981,4645
FK Radnički Niš,Mozzart Bet Superliga,FK Radnicki Niš,99,normalized,25737,7567
FK Spartak Subotica,Mozzart Bet Superliga,FK Spartak Subotica,100,exact,36967,15276
FK TSC Bačka Topola,Mozzart Bet Superliga,FK TSC Backa Topola,99,normalized,263360,3137
FK Vojvodina,Mozzart Bet Superliga,FK Vojvodina Novi Sad,90.0,fuzzy_auto,5150,448
